Destination,District,Review_Count,Primary_Category,Nature_Score,Culture_Score,Adventure_Score,Food_Score,Wellness_Score,Entertainment_Score,Shopping_Score,Family_Score
Mayan Water Park,Gampaha,192,Family,0.222,0.071,0.077,0.154,0.111,0.444,0.0,0.778
"Meeran Mosque, Galle Fort",Galle,193,Culture,0.333,0.857,0.0,0.0,0.778,0.333,0.111,0.333
Minee Ella,Rathnapura,59,Nature,0.5,0.0,0.154,0.077,0.222,0.222,0.0,0.111
Mirijjawila Botanical Gardens - South Gate,Hambantota,16,Nature,0.222,0.0,0.154,0.0,0.222,0.0,0.222,0.111
Mirissa Beach,Matara,239,Entertainment,0.611,0.071,0.231,0.615,0.667,1.0,0.222,0.444
Mohini Falls,Hatton,103,Wellness,0.389,0.071,0.308,0.077,0.444,0.0,0.0,0.222
Moon plains,Hatton,776,Nature,0.889,0.286,0.538,0.077,0.778,0.444,0.0,0.667
Mooray falls,Hatton,50,Nature,0.556,0.0,0.308,0.0,0.111,0.0,0.0,0.0
Mount Lavania Beach,Colombo,200,Wellness,0.556,0.214,0.154,0.615,0.889,0.778,0.0,0.778
Mount vernon waterfall,Hatton,18,Nature,0.278,0.0,0.0,0.0,0.0,0.111,0.0,0.0
Muthiyangana Raja Maha Vihara,Badulla,291,Wellness,0.389,0.714,0.154,0.0,1.0,0.111,0.0,0.444
Nalanda gedige,Matale,518,Wellness,0.667,0.857,0.231,0.154,1.0,0.333,0.111,0.333
Narangala Hill,Badulla,94,Adventure,0.389,0.143,0.615,0.077,0.333,0.111,0.222,0.333
Narangala Mountain,Badulla,163,Adventure,0.778,0.214,0.846,0.077,0.444,0.333,0.111,0.222
National Art Gallery,Colombo,48,Culture,0.222,0.286,0.0,0.0,0.222,0.111,0.222,0.0
National Meuseum Galle,Galle,98,Culture,0.167,0.643,0.077,0.0,0.111,0.111,0.111,0.444
National spice garden of sri lanka,Matale,69,Entertainment,0.333,0.143,0.077,0.154,0.0,0.444,0.222,0.0
Nilwala Crocodile Safari,Matara,27,Wellness,0.222,0.071,0.077,0.0,0.556,0.111,0.0,0.222
Old Dutch Market,Matara,37,Culture,0.111,0.571,0.0,0.0,0.111,0.0,0.333,0.0
Old Parliament Building,Colombo,44,Culture,0.222,0.286,0.0,0.0,0.111,0.111,0.111,0.0
Padiwita ambalama,Matale,63,Wellness,0.333,0.286,0.077,0.0,0.778,0.222,0.0,0.0
