Hotel_Name,Aspect,Negative,Neutral,Positive,Total,Positive_Percentage,Negative_Percentage,Sentiment_Score
AC Hotel Barcelona Forum a Marriott Lifestyle Hotel,Location,11,30,63,104,60.58,10.58,0.5
AC Hotel Barcelona Forum a Marriott Lifestyle Hotel,Room,23,36,74,133,55.64,17.29,0.383
AC Hotel Barcelona Forum a Marriott Lifestyle Hotel,Staff_Service,13,34,62,109,56.88,11.93,0.45
AC Hotel Barcelona Forum a Marriott Lifestyle Hotel,Value,6,12,12,30,40.0,20.0,0.2
AC Hotel Barcelona Forum a Marriott Lifestyle Hotel,Wellness,6,25,46,77,59.74,7.79,0.519
AC Hotel Diagonal L Illa a Marriott Lifestyle Hotel,Cleanliness,0,3,10,13,76.92,0.0,0.769
AC Hotel Diagonal L Illa a Marriott Lifestyle Hotel,Facilities,1,3,12,16,75.0,6.25,0.688
AC Hotel Diagonal L Illa a Marriott Lifestyle Hotel,Food,1,6,13,20,65.0,5.0,0.6
AC Hotel Diagonal L Illa a Marriott Lifestyle Hotel,Location,1,4,15,20,75.0,5.0,0.7
AC Hotel Diagonal L Illa a Marriott Lifestyle Hotel,Room,2,7,15,24,62.5,8.33,0.542
AC Hotel Diagonal L Illa a Marriott Lifestyle Hotel,Staff_Service,2,7,17,26,65.38,7.69,0.577
AC Hotel Diagonal L Illa a Marriott Lifestyle Hotel,Value,1,4,5,10,50.0,10.0,0.4
AC Hotel Diagonal L Illa a Marriott Lifestyle Hotel,Wellness,0,1,3,4,75.0,0.0,0.75
AC Hotel Irla a Marriott Lifestyle Hotel,Facilities,1,2,1,4,25.0,25.0,0.0
AC Hotel Irla a Marriott Lifestyle Hotel,Food,0,1,0,1,0.0,0.0,0.0
AC Hotel Irla a Marriott Lifestyle Hotel,Location,0,3,0,3,0.0,0.0,0.0
AC Hotel Irla a Marriott Lifestyle Hotel,Room,0,6,0,6,0.0,0.0,0.0
AC Hotel Irla a Marriott Lifestyle Hotel,Staff_Service,1,3,4,8,50.0,12.5,0.375
AC Hotel Milano a Marriott Lifestyle Hotel,Cleanliness,1,5,12,18,66.67,5.56,0.611
AC Hotel Milano a Marriott Lifestyle Hotel,Facilities,1,4,4,9,44.44,11.11,0.333
AC Hotel Milano a Marriott Lifestyle Hotel,Food,0,8,15,23,65.22,0.0,0.652
AC Hotel Milano a Marriott Lifestyle Hotel,Location,2,11,26,39,66.67,5.13,0.615
AC Hotel Milano a Marriott Lifestyle Hotel,Room,4,11,20,35,57.14,11.43,0.457
AC Hotel Milano a Marriott Lifestyle Hotel,Staff_Service,2,4,23,29,79.31,6.9,0.724
AC Hotel Milano a Marriott Lifestyle Hotel,Value,1,6,4,11,36.36,9.09,0.273
AC Hotel Milano a Marriott Lifestyle Hotel,Wellness,0,2,1,3,33.33,0.0,0.333
AC Hotel Paris Porte Maillot by Marriott,Cleanliness,0,9,13,22,59.09,0.0,0.591
AC Hotel Paris Porte Maillot by Marriott,Facilities,0,4,7,11,63.64,0.0,0.636
AC Hotel Paris Porte Maillot by Marriott,Food,0,11,14,25,56.0,0.0,0.56
AC Hotel Paris Porte Maillot by Marriott,Location,1,10,19,30,63.33,3.33,0.6
AC Hotel Paris Porte Maillot by Marriott,Room,1,13,18,32,56.25,3.12,0.531
AC Hotel Paris Porte Maillot by Marriott,Staff_Service,2,8,25,35,71.43,5.71,0.657
AC Hotel Paris Porte Maillot by Marriott,Value,0,1,6,7,85.71,0.0,0.857
AC Hotel Paris Porte Maillot by Marriott,Wellness,0,0,2,2,100.0,0.0,1.0
AC Hotel Sants a Marriott Lifestyle Hotel,Cleanliness,0,6,9,15,60.0,0.0,0.6
AC Hotel Sants a Marriott Lifestyle Hotel,Facilities,2,5,10,17,58.82,11.76,0.471
AC Hotel Sants a Marriott Lifestyle Hotel,Food,0,9,12,21,57.14,0.0,0.571
AC Hotel Sants a Marriott Lifestyle Hotel,Location,5,20,34,59,57.63,8.47,0.492
AC Hotel Sants a Marriott Lifestyle Hotel,Room,4,15,24,43,55.81,9.3,0.465
AC Hotel Sants a Marriott Lifestyle Hotel,Staff_Service,4,11,17,32,53.12,12.5,0.406
AC Hotel Sants a Marriott Lifestyle Hotel,Value,0,5,4,9,44.44,0.0,0.444
AC Hotel Sants a Marriott Lifestyle Hotel,Wellness,0,1,0,1,0.0,0.0,0.0
AC Hotel Victoria Suites a Marriott Lifestyle Hotel,Cleanliness,1,4,7,12,58.33,8.33,0.5
AC Hotel Victoria Suites a Marriott Lifestyle Hotel,Facilities,0,1,3,4,75.0,0.0,0.75
AC Hotel Victoria Suites a Marriott Lifestyle Hotel,Food,1,4,11,16,68.75,6.25,0.625
AC Hotel Victoria Suites a Marriott Lifestyle Hotel,Location,2,3,10,15,66.67,13.33,0.533
AC Hotel Victoria Suites a Marriott Lifestyle Hotel,Room,1,6,15,22,68.18,4.55,0.636
AC Hotel Victoria Suites a Marriott Lifestyle Hotel,Staff_Service,3,4,18,25,72.0,12.0,0.6
AC Hotel Victoria Suites a Marriott Lifestyle Hotel,Value,1,2,3,6,50.0,16.67,0.333
AC Hotel Victoria Suites a Marriott Lifestyle Hotel,Wellness,0,2,2,4,50.0,0.0,0.5
ADI Doria Grand Hotel,Cleanliness,1,6,14,21,66.67,4.76,0.619
ADI Doria Grand Hotel,Facilities,8,11,22,41,53.66,19.51,0.341
ADI Doria Grand Hotel,Food,8,16,53,77,68.83,10.39,0.584
ADI Doria Grand Hotel,Location,6,13,46,65,70.77,9.23,0.615
ADI Doria Grand Hotel,Room,9,18,49,76,64.47,11.84,0.526
ADI Doria Grand Hotel,Staff_Service,10,10,49,69,71.01,14.49,0.565
ADI Doria Grand Hotel,Value,1,4,4,9,44.44,11.11,0.333
ADI Doria Grand Hotel,Wellness,0,0,2,2,100.0,0.0,1.0
ADI Hotel Poliziano Fiera,Cleanliness,5,10,23,38,60.53,13.16,0.474
ADI Hotel Poliziano Fiera,Facilities,3,6,7,16,43.75,18.75,0.25
ADI Hotel Poliziano Fiera,Food,5,24,43,72,59.72,6.94,0.528
ADI Hotel Poliziano Fiera,Location,5,19,35,59,59.32,8.47,0.508
ADI Hotel Poliziano Fiera,Room,8,18,36,62,58.06,12.9,0.452
ADI Hotel Poliziano Fiera,Staff_Service,2,14,30,46,65.22,4.35,0.609
ADI Hotel Poliziano Fiera,Value,1,5,10,16,62.5,6.25,0.562
ADI Hotel Poliziano Fiera,Wellness,0,0,3,3,100.0,0.0,1.0
ARCOTEL Kaiserwasser Superior,Cleanliness,0,9,16,25,64.0,0.0,0.64
ARCOTEL Kaiserwasser Superior,Facilities,4,9,19,32,59.38,12.5,0.469
ARCOTEL Kaiserwasser Superior,Food,3,12,42,57,73.68,5.26,0.684
ARCOTEL Kaiserwasser Superior,Location,3,16,45,64,70.31,4.69,0.656
ARCOTEL Kaiserwasser Superior,Room,9,19,38,66,57.58,13.64,0.439
ARCOTEL Kaiserwasser Superior,Staff_Service,6,12,29,47,61.7,12.77,0.489
ARCOTEL Kaiserwasser Superior,Value,4,4,13,21,61.9,19.05,0.429
ARCOTEL Kaiserwasser Superior,Wellness,1,3,9,13,69.23,7.69,0.615
ARCOTEL Wimberger,Cleanliness,6,9,21,36,58.33,16.67,0.417
ARCOTEL Wimberger,Facilities,7,13,22,42,52.38,16.67,0.357
ARCOTEL Wimberger,Food,7,19,43,69,62.32,10.14,0.522
ARCOTEL Wimberger,Location,7,27,40,74,54.05,9.46,0.446
ARCOTEL Wimberger,Room,10,30,36,76,47.37,13.16,0.342
ARCOTEL Wimberger,Staff_Service,6,21,34,61,55.74,9.84,0.459
ARCOTEL Wimberger,Value,5,2,11,18,61.11,27.78,0.333
ARCOTEL Wimberger,Wellness,1,1,12,14,85.71,7.14,0.786
AZIMUT Hotel Vienna,Cleanliness,4,13,22,39,56.41,10.26,0.462
AZIMUT Hotel Vienna,Facilities,4,10,21,35,60.0,11.43,0.486
AZIMUT Hotel Vienna,Food,4,11,27,42,64.29,9.52,0.548
